,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,P/A
65596,Haryana,AMBALA,1997,Kharif     ,Bajra,1000.0,1000.0,1.0
65597,Haryana,AMBALA,1997,Kharif     ,Maize,8000.0,15000.0,1.875
65599,Haryana,AMBALA,1997,Kharif     ,Rice,65000.0,182000.0,2.8
65601,Haryana,AMBALA,1997,Rabi       ,Wheat,72000.0,226000.0,3.138888888888889
65603,Haryana,AMBALA,1998,Kharif     ,Arhar/Tur,130.0,200.0,1.5384615384615385
65608,Haryana,AMBALA,1998,Kharif     ,Maize,5610.0,11000.0,1.9607843137254901
65610,Haryana,AMBALA,1998,Kharif     ,Rice,71365.0,186000.0,2.6063196244657747
65612,Haryana,AMBALA,1998,Kharif     ,Urad,434.0,100.0,0.2304147465437788
65615,Haryana,AMBALA,1998,Rabi       ,Masoor,2675.0,1900.0,0.7102803738317757
65616,Haryana,AMBALA,1998,Rabi       ,Peas & beans (Pulses),59.0,100.0,1.694915254237288
65617,Haryana,AMBALA,1998,Rabi       ,Rapeseed &Mustard,778.0,1000.0,1.2853470437017995
65618,Haryana,AMBALA,1998,Rabi       ,Sunflower,3321.0,4100.0,1.2345679012345678
65619,Haryana,AMBALA,1998,Rabi       ,Wheat,74688.0,284000.0,3.80248500428449
65620,Haryana,AMBALA,1998,Whole Year ,Dry chillies,116.0,100.0,0.8620689655172413
65624,Haryana,AMBALA,1999,Kharif     ,Arhar/Tur,110.0,100.0,0.9090909090909091
65629,Haryana,AMBALA,1999,Kharif     ,Maize,5608.0,14000.0,2.4964336661911557
65630,Haryana,AMBALA,1999,Kharif     ,Rice,72185.0,206000.0,2.8537784858350075
65634,Haryana,AMBALA,1999,Rabi       ,Masoor,1884.0,1400.0,0.7430997876857749
65636,Haryana,AMBALA,1999,Rabi       ,Rapeseed &Mustard,1588.0,2000.0,1.2594458438287153
65637,Haryana,AMBALA,1999,Rabi       ,Sunflower,1118.0,1400.0,1.2522361359570662
65638,Haryana,AMBALA,1999,Rabi       ,Wheat,78420.0,325000.0,4.144350930884978
65639,Haryana,AMBALA,1999,Whole Year ,Dry chillies,216.0,200.0,0.9259259259259259
65643,Haryana,AMBALA,2000,Kharif     ,Arhar/Tur,257.0,300.0,1.1673151750972763
65647,Haryana,AMBALA,2000,Kharif     ,Maize,4369.0,10000.0,2.288853284504463
65648,Haryana,AMBALA,2000,Kharif     ,Rice,71840.0,217000.0,3.0206013363028954
65650,Haryana,AMBALA,2000,Kharif     ,Urad,411.0,100.0,0.24330900243309003
